Sentiment,text
1,iPhone May Get Radio Tagging and Nike   Recentlyreleased iTunes version 82 suggests that VoiceOver functional
2,is lovin his Nike  already and thats only from running on the spot in his bedroom
1,Launched 
2,I finally got around to using jquery to make my bio collapse Yay for slide animations
1,RT The Ultimate jQuery List 
1,I just extracted and opensourced a jQuery plugin from Stormweight to highlight text with a regular expression
1,what was the php jquery hack
1,jQuery Cheat Sheet
1,Beginning JavaScript and CSS Development with jQuery
2,right LOL well get there I have high expectations Warren Buffet style
2,RT RT GREAT Someones sitting in the shade today because someone planted a tree a long time ago Warren Buffet
1,Warren Buffet on the economy
2,Warren Buffet became for a time the richest man in the United States not by working but investing in 1 Big idea which lead to the fortune
2,According to the create a school Notre Dame will have 7 receivers in NCAA 10 at 84 or higher rating  sweet
1,AllStar Basketball Classic Tuesday Features Top Talent Chattanoogas Notre Dame High School will play host
2,its definitely under warranty amp
1,RT Look Available Amazon Kindle2 amp Kindle DX Get it Here The Top Electronic Book Reader Period free 2 day ship 
0,Time Warner Road Runner customer support here absolutely blows I hate not having other highspeed net options Im ready to go nuclear
0,Time Warner cable phone reps r dumber than nails UGH Cable was working 10 mins ago now its not WTF
0,we tried but Time Warner wasnt being nice so we recorded today 
0,OMG  time warner fed up my internet install  instead of today  its now NEXT saturday  another week wo internet amp
0,wthi have never seen a line this loooong at time warner before ugh
0,Impatiently awaiting the arrival of the time warner guy Its way too pretty to be inside all afternoon
1,Man accosts Roger Federer during French Open
0,Naive Bayes using EM for Text Classification Really Frustrating
2,We went to Stanford University today Got a tour Made me want to go back to college Its also decided all of our kids will go there
1,Investigation pending on death of Stanford CS prof  Google mentor Rajeev Motwani tip
1,Im going to bed It was a successful weekend Stanford here I come
0,If youre being harassed by calls about your car warranty changing your number wont fix that They call every number
0,Just blocked United Blood Services using Google Voice They call more than those Car Warranty guys
0,
0,OH SNAP YOU WORK AT ATamp
0,i really dont want ATamp
0,I say we just cut out the small talk ATampTs new slogan Fk you give us your money Apologies to Bob Geldof
0,pissed about atamp
0,Safari 4 is fast  Even on my shitty ATamp
0,What is ATamp
0,ATamp
0,yay glad you got the phone Still damn you ATampT
1,Google Wave Developer Sandbox Account Request
0,Talk is Cheap Bing that Ill stick with Google
0,WTF is the point of deleting tweets if they can still be found in summize and searches Twitter please fix that Thanks and bye
1,have google profiles stopped showing up in searches cant see them anymore
2,I love Google Translator too  D Good day mate 
2,reading on my new Kindle2
2,My Kindle2 came and I LOVE it 
2,LOVING my new Kindle2  Named her Kendra in case u were wondering The cookbook is THE tool cuz it tells u all the tricks  Best gift EVR
0,The real AIG scandal 
1,Any twitter to aprs apps yet
1,45 Pros You Should Be Following on Twitter 
2,Obama is quite a good comedian check out his dinner speech on CNN  very funny jokes
2, Barack Obama shows his funny side  gtgt  Great speech
2,I like this guy   Barack Obama shows his funny side  gtgt 
2,Obamas speech was pretty awesome last night
2,Reading  Bill Clinton Fail  Obama Win
2,Obama More Popular Than US Among Arabs Survey President Barack Obamas popularity in leading Arab countries 
2,Obamas got JOKES haha just got to watch a bit of his after dinner speech from last night im in love with mr president 
0,LEbron james got in a car accident i guessjust heard it on evening newswow i cant believe itwill he be ok 
2,is it me or is this the best the playoffs have been in years oh yea lebron and melo in the finals
2,No Lebron is the best
2,LeBron is cool  I like his personalityhe has good character
2,Watching Lebron highlights Damn that niggas good
2,Lebron is MURDERING shit
2,LeBron is a monsta and he is only 24 SMH The world aint ready
2,when Lebron is done in the NBA he will probably be greater than Kobe Like u said Kobe is good but there alot of good players
2,KOBE IS GOOD BT LEBRON HAS MY VOTE
0,Kobe is the best in the world not lebron 
2,World Cup 2010 Access Damn thats a good look
2,Just bought my tickets for the 2010 FIFA World Cup in South Africa Its going to be a great summer
1,Share DisruptionFred Wilsons slides for his talk at Google HQ 
0,I have to go to Booz Allen Hamilton for a 2hr meeting   But then i get to go home 
2,The great Indian tamasha truly will unfold from May 16 the result day for Indian General Election
2,I have the Kindle2 Ive seen pictures of the DX but havent seen it in person I love my Kindle  Im on it everyday
2,Such an awesome idea  the  continual learning program with a Kindle2 
1,ok do nothing just thinking about 40D
2,Ooooh what model are you getting I have the 40D and LOVE LOVE LOVE LOVE it
2,The Times of India The wonder that is Indias election
2,Good video from Google on using search options
0,lol Ah my skin is itchy  damn lawnmowing
0,itchy back dont ya hate it
2,Stanford Charity Fashion Show a top draw
2,Stanford Universitys Facebook Profile is One of the Most Popular Official University Pages 
2,Lyx is cool
2,SOOO DISSAPOiNTED THEY SENT DANNY GOKEY HOME YOU STiLL ROCK DANNY  MY HOMETOWN HERO  YEAH MiLROCKEE
2,RT American Idol fashion Adam Lambert tones down Danny Gokey cute 
2,I love you DANNY GOKEY 
1,RT RT GM OnStar now instantly sends accident location coordinates to 911 | GPS Obsessed
0,so tired i didnt sleep well at all last night
0,Boarding plane for San Francisco in 1 hour
0,bonjour San Francisco My back hurts from last night
1,breakers in San Francisco CA
1,Heading to San Francisco
2,With my best girl for a few more hours in San francisco Mmmmmfamily is wonderful
0,F up big or go home  AIG
2,Went to see the Star Trek movie last night  Very satisfying
2,I cant wait going to see star trek tonight
2,Star Trek was as good as everyone said
2,am loving new malcolm gladwell book  outliers
2,I highly recommend Malcolm Gladwells The Tipping Point My next audiobook will probably be one of his as well
0,Malcolm Gladwell is a genius at tricking people into not realizing hes a fucking idiot
0,hey no offense but malcolm gladwell is a pretenious annoying cunt and he brings you down cant read his shit
2,RT  Great article by Malcolm Gladwell
2,I seriously underestimated Malcolm Gladwell  I want to meet this dude
0,i hate comcast right now everything is down cable internet amp
0,Comcast sucks
0,The day I never have to deal with Comcast again will rank as one of the best days of my life
0,did comcast fail again
1,How do you use the twitter API
0,curses the Twitter API limit
0,Now I can see why Dave Winer screams about lack of Twitter API its limitations and access throttles
1,testing Twitter API
0,Arg Twitter API is making me crazy
1,Testing Twitter API Remote Update
2,Im really loving the new search site WolframAlpha Makes Google seem so  quaint
0,Alpha SUCKS Even for researchers the information provided is less than you can get from or totally useless
2,Off to the NIKE factory
2,New nike muppet commercials are pretty cute Why do we live together again
1,New blog post Nike Zoom LeBron Soldier 3 III  White  Black  Teal
1,New blog post Nike Trainer 1
0,oh those are awesome i so wish they werent owned by nike 
2, AWESOME Seeing the show Friday at the Shoreline Amphitheatre Never seen NIN before Cant wait 
0,arhh Its weka bug = = and I spent almost two hours to find that out crappy me
2,hey bud  np I do so love my 50D although Id love a 5D mkII more
2,just got us a 50D for the office D
2,Just picked up my new Canon 50Dits beautiful  Prepare for some seriously awesome photography
2,Just got my new toy Canon 50D Love love love it
2,Learning about lambda calculus 
1,Help with taking care of sick child East Palo Alto CA
2,Im moving to East Palo Alto
2,atebits I just finished watching your Stanford iPhone Class session I really appreciate it You Rock
2,Hi Just saw your Stanford talk and really liked your advice Just saying Hi from Singapore yes the videos do get around
1,Admissions Tips Stanford GSB Deadlines and Essay Topics 20092010
1,Ethics and nonprofits  
2,LAKERS tonight lets go
2,Will the Lakers kick the Nuggets ass tonight
0,Oooooooh North Korea is in troubleeeee
0,Wat the heck is North Korea doing They just conducted powerful nuclear tests Follow the link
0,Listening to Obama Friggin North Korea
0,I just realized we three monkeys in the white ObamaBidenPelosi  Sarah Palin 2012
0,Pelosi should stay in China and never come back
0,Nancy Pelosi gave the worst commencement speech Ive ever heard Yes Im still bitter about this
0,ugh the amount of times these stupid insects have bitten me Grr
2,Prettiest insects EVER  Pink Katydids
0,Just got barraged by a horde of insects hungry for my kitchen light So scary
2,Just had McDonalds for dinner D It was goooood Big Mac Meal 
2,AHH YES LOL IMA TELL MY HUBBY TO GO GET ME SUM MCDONALDS =
2,Stopped to have lunch at McDonalds Chicken Nuggetssss  yummmmmy
2,Could go for a lot of McDonalds i mean A LOT
2,my exam went good your prayers worked 
2,Only one exam left and i am so happy for it D
0,Math review Im going to fail the exam
0,Colin Powell rocked yesterday on CBS Cheney needs to shut the hell up and go homePowell is a man of Honor and served our country proudly
0,obviously not siding with Cheney here
2,Absolutely hilarious from 
2,I never did thank you for including me in your Top 100 Twitter Authors You Rock amp
1,Learning jQuery 13 Book Review 
2,RT Awesome JQuery reference book for Coda
2,Ive been sending emails like crazy today to my contactsdoes anyone have a contact at Goodby SIlversteinId love to speak to them
1,Adobe CS4 commercial by Goodby Silverstein
2,Goodby Silversteins new site I enjoy it
2,Wow everyone at the Google IO conference got free G2s with a month of unlimited service
2,dood I got a free google android phone at the IO conference The G2
2,the G2 is amazing btw a HUGE improvement over the G1
2,HTML 5 Demos Lots of great stuff to come Yes Im excited 
2, Yay Happy place Place place  I love Google
2,| O3D  Bringing 3d graphics to the browser Very nice tbh Funfun
2,Awesome viral marketing for Funny People
1,Watching a programme about the life of Hitler its only enhancing my geekiness of history
0,saw night at the museum out of sheer desperation who is funding these movies
2,Night At The Museum 2 Pretty furkin good
2,Watching Night at the Museum  giggling
1,Jenna I went to see Night At The Museum 2 today and I was so surprised to see three cast members from The Office
1,About to watch Night at the Museum with Ryan and Stacy
1,Getting ready to go watch Night at the Museum 2  Dum dum you give me gum gum
0,Back from seeing Star Trek and Night at the Museum Star Trek was amazing but Night at the Museum was eh
2,just watched night at the museum 2 so stinkin cute
2,So Night at the Museum 2 was AWESOME Much better than part 1 Next weekend well see Up
1,I think I may have a new favorite restaurant On our way to see Night at the Museum 2
1,UP was sold out so im seeing Night At The Museum 2 Im  years old
2,saw the new Night at the Museum and i loved it Next is to go see UP in 3D
0,It is a shame about GM What if they are forced to make only cars the White House THINKS will sell What do you think
0,As u may have noticed not too happy about the GM situation nor AIG Lehman et al
1,Obama Nationalization of GM to be shortterm   AP
0,GM good riddance  sad though
0,I Will NEVER Buy a Government Motors Vehicle Until just recently I drove GM cars Since 1988 when I bought a 
0,Having the old CocaCola guy on the GM board is stupid has heck
0,The worst thing about GM concord  pleasant hill  martinez is the fucking UAW   
0,Give a man a fish u feed him for the day Teach him to fish u feed him for life Buy him GM and u FK him over for good
0,The more I hear about this GM thing the more angry I get Billions wasted more bullshit All for something like 40k employees and all the
0,i own a GM car and it is junk as far as quality compared to a honda
0,sad daybankrupt GM
0,is upset about the whole GM thing life as i know it is so screwed up
0,whoever is running time warner needs to be repeatedly raped by a rhino so they understand the consequences of putting out shitty cable svcs
1,Time Warner CEO hints at online fees for magazines      AP  Read from Mountain ViewUnited States Views 16209
0,Joining a bit late My connection was down boo time warner
0,Cox or Time Warner  Cox is cheaper and gets a B on dslreports  TW is more expensive and gets a C
0,i am furious with time warner and their phone promotions
0,Just got home from chickfila with the boys Damn my internets down = stupid time warner
0,could timewarner cable suck more  NO
0,Pissed at Time Warner for causin me to have slow internet problems
0,Ummm having some Time Warner problems
0,You guys see this  Why does Time Warner have to suck so much ass  Really wish I could get UVerse at my apartment
0,RT The upside to Time Warner unhelpful phone operators   superslow onsite service Crap thats not an upside
0,RT New Time Warner slogan Time Warner where we make you long for the days before cable
0,confirmed its Time Warners fault not Facebooks that fb is taking about 3 minutes to load so tempted to switch to verizon =
0,Time Warner = epic fail
1,Lawson to head Newedge Hong Kong
1,Weird Piano Guitar House in China
1,Send us your GMChevy photos
0,I know How sad is that  RT 1st day of hurricane season Thats less scarey than govt taking over GM
0,GM files Bankruptcy not a good sign
2,yankees won mets lost its a good day
2,My dentist appt today was actually quite enjoyable
0,I hate the effing dentist
1,i had a dentist appt this morning and had the same conversation
0,I hate going to the dentist 
0,i hate the dentistwho invented them anyways
0,this dentists office is cold 
1,Check this video out  David After Dentist
1,First dentist appointment in years on Wednesday possibly
1,Tom Shanahans latest column on SDSU and its NCAA Baseball Regional appearance
1,BaseballAmericacom Blog Baseball America Prospects Blog  Blog 
1,Portland city politics may undo baseball park
1,RT CA Merceds water bottled by Safeway resold at a profit Wells are drying up across the county
1,dropped her broccoli walking home from safeway 
1,we dont have Safeway
2,Just applied at Safeway Yeeeee
0,Safeway Place is a nightmare right now Bumming
1,at safeway with dad
0,HATE safeway select green tea icecream bought two cartons what a waste of money  gtlt
1,Safeway with Marvin Janelle and Auntie Lhu
1,Safeway offering mobile coupons
1,Phillies Driving in the Cadillac with the Top Down in Cali Win 53 
1,Saved money by opting for grocery store trip and stocking food in hotel room fridge vs eating out every night while out of town
1,Lounging around eating Taco Bell and watching NCIS before work tonight Need help staying awake
1,eating breakfast and then school
1,still hungry after eating
1,10 tips for healthy eating  ResultsBy Fitness Blog  Fitness 
1,with the boyfriend eating a quesadilla
1,Eating dinner Meat chips and risotto
1,got a new pair of nike shoes pics up later
1,Nike SB Blazer High ACG Custom  Brad Douglas 
2,Nike rocks Im super grateful for what Ive done with them  amp
1,Nike Air Yeezy KhakiPink Colorway Release 
2,have you tried Nike   V addictive
1,That looks an awful lot like one of Nikes private jetsIm just sayin
2,The Nike Training Club beta iPhone app looks very interesting
0,argghhhh why wont  my jquery appear in safari bad safari 
1,DevSnippets  jQuery Tools  Javascript UI Components for the Web
1,all about Ajaxjquery css JavaScript and more many examples
2,Im ready to drop the pretenses I am forever in love with jQuery and I want to marry it Sorry ladies this nerd is jqueryspokenForjs
1,This is cold I was looking at googles chartvisualization API and found this jQuery wrapper for the API 
1,I spent most of my day reading a jQuery book Now to start drinking some delirium tremens
1,jquery Selectors
1,How to implement a news ticker with jQuery and ten lines of code
1,Whats Buffet Doing Warren Buffett Kicks Butt In Battle of the Boots Posted ByAlex Crippe
2,SUPER INVESTORS A great weekend read here from Warren Buffet Oldie but a goodie
1,Im truly braindead  I couldnt come up with Warren Buffets name to save my soul
2,reading Michael Palin book The Python Yearsgreat book I also recommend Warren Buffet amp Nelson Mandelas bio
2,I mean Im down with Notre Dame if I have to  Its a good school Id be closer to Dan Id enjoy it
0,I cant watch TV without a Tivo  And after all these years the TimeWarner DVR  STILL sucks
2,Id say some sports writers are idiots for saying Roger Federer is one of the best ever in Tennis  Roger Federer is THE best ever in Tennis
0,I still love my Kindle2 but reading The New York Times on it does not feel natural I miss the Bloomingdale ads
2,I love my Kindle2 No more stacks of books to trip over on the way to the loo
0,Although todays keynote rocked for every great announcement ATampT shit on us just a little bit more
0, its not so much my obsession with cell phones but the iphone  im a slave to atampt forever because of it 
1,oh I see I thought ATamp
1,Where did you read about tethering support Phil  Just ATamp
0,Fuzzball is more fun than ATamp
0,Today is a good day to dislike ATampT Vote out of office indeed
2,GOT MY WAVE SANDBOX INVITE Extra excited Too bad I have class now but Ill play with it soon enough
0,looks like summize has gone down too many tweets from WWDC perhaps
1,I hope the girl at work  buys my Kindle2
1,Missed this insightfilled May column One smart guy looking closely at why hes impressed with Kindle2
2,Thanks so much from one of your very happy Kindle2 winners   I was so surprised fabulous Thank you Best Kathleen
0,Man I kinda dislike Apple right now Case in point the iPhone 3GS Wish there was a video recorder app Please
2,I have a Kindle2 amp
2,The seems the best eReader but will it work in the UK and where can I get one
2,I have a google addiction Thank you for pointing that out Hahaha
1,My primary debit card is Visa Electron
1,Off to the bank to get my new visa platinum card
0,dearest you rich bastards the VISA card you sent me doesnt work why screw a little guy like me
1,has a date with bobby flay and gut fieri from food network
2,Excited about seeing Bobby Flay and Guy Fieri tomorrow at the Great American Food amp
2,Gonna go see Bobby Flay 2moro at Shoreline Eat and drink Gonna be good
2,cant wait for the great american food and music festival at shoreline tomorrow  mmmkatz pastrami and bobby flay yes please
2,My dad was in NY for a day we ate at MESA grill last night and met Bobby Flay So much fun except I completely lost my voice today
0,Fighting with LaTex Again
0,we love you too and dont want you to die  Latex = the devil
0,7 hours 7 hours of inkscape crashing normally solid as a rock 7 hours of LaTeX complaining at the slightest thing I cant take any more
1,How to Track Iran with Social Media
0,Shits hitting the fan in Irancraziness indeed
0,Monday already Iran may implode Kitchen is a disaster seems happy had a nice weekend and is great whoop
1,Twitter Stock buzz AAPL ESF SPY SPX PALM  updated 1200 PM
2,getting ready to test out some burger receipes this weekend Bobby Flay has some great receipes to try Thanks Bobby
1,is Bobby Flay joining you
2,i lam so in love with Bobby Flay he is my favorite RT you need a place in Phoenix We have great peppers here
0,I just created my first LaTeX file from scratch That didnt work out very well See  its a great time waster
2,using Linux and loving it  so much nicer than windows Looking forward to using the wysiwyg latex editor
2,After using LaTeX a lot any other typeset mathematics just looks hideous
1,Ask Programming LaTeX or InDesign submitted by calcio1 link 1 comment
0,On that note I hate Word I hate Pages I hate LaTeX There I said it I hate LaTeX All you TEXN3RDS can come kill me now
2,Ahhh back in a real text editing environment I lt
0,Trouble in Iran I see Hmm Iran Iran so far away
0,Reading the tweets coming out of Iran The whole thing is terrifying and incredibly sad
0, Awww thats a bummer  You shoulda got David Carr of Third Day to do it D
0,is upset that he cant update his Facebook by texting it and might cry as a result  School today also Blah
0,I dived many times for the ball Managed to save 50  The rest go out of bounds
0,my whole body feels itchy and like its on fire 
0,no its not behaving at all im mad why am i here because I cant see you all over there 
0,not the whole crew 
0,Need a hug 
0,hey  long time no see Yes Rains a bit only a bit  LOL  Im fine thanks  hows you 
0,nope they didnt have it 
0,que me muera  
0,spring break in plain city its snowing 
0,I just repierced my ears 
0,I couldnt bear to watch it  And I thought the UA loss was embarrassing     
0,It it counts idk why I did either you never talk to me anymore 
0,i wouldve been the first but i didnt have a gun    not really though zac snyders just a doucheclown
