,Quote,Sentiment
17,"As long as anti-gay legislation exists in any state, I strongly believe big events such as the Final Four and Super Bowl should not be held in those states' cities.",0
18,"In the name of Christ, I refuse to be anti-gay. I refuse to be anti-feminist. I refuse to be anti-artificial birth control. I refuse to be anti-Democrat. I refuse to be anti-secular humanism. I refuse to be anti-science. I refuse to be anti-life. In the name of Christ, I quit Christianity and being Christian. Amen.",0
19,"I am a Colorado native, and, no, I did not vote for the anti-gay amendment or the same-sex marriage ban, and I am not a member of a militia.",0
20,People have to stop saying that just because someone is an anti-gay activist they might be gay. They're DEFINITELY GAY!!,0
21,Every anti-gay remark from the Church gives the thug a license to be cruel.,0
22,"The Supreme Court had the choice not only which way to rule, pro- or anti-gay marriage rights, but also how they were going to rule. They could have ruled just federalism, saying, ""This isn't a matter for federal; this isn't a federal issue at all. States should decide it."" Or they could decide it on equal protection grounds and say that, ""Gay discrimination is wrong.""",0
23,I think dragging someone out of the closet who isn't necessarily engaged in anti-gay activities can have a destructive effect on them and on us. I don't want unwilling gay people advocating on my behalf; I think that's a challenge.,0
24,"Someone sent an email to Reverend Joanna Watson [an American missionary] saying that I'm gay, and she sent it to all the anti-gay pastors in Uganda. One of them said, ""We're going to take care of this guy."" When I was confronted by them I didn't know what they were going to do, but they decided to pray over me. They said they were going to cure me. That didn't work, of course.",0
25,"And I was like “Did you just call me a faggot?” And he's like, “So, you are then?” I was like, “What does it matter?” because in my mind maybe I was bi but it wasn't like a fully developed thought. I wasn't out to myself yet and I wasn't out to anyone else yet.",0
26,"As for me . . . I do the self-negative part. I do have very low self-esteem type thing, so whenever someone says something [homophobic], it really cripples me. Like him, I'm mentally disabled that way, so I'm just going to avoid [inaudible]. But yeah, so I take it the negative way, but it's what I've grown up with so . . . I mean I've been yelled at “fag” here [at school] like twice . . .",0
27,Bad thing is like you're in the closet and you don't really like want to tell your family. You have no idea if they are going to support you or if they're going to kick you out of their life or whatever.,0
28,[My] friend ‘freaked out’ when I told him I was bisexual and he came to our group to hang out—at first he was scared and didn't want anyone to touch him and then he calmed down.,0
29,"The other big thing that I've heard a lot of people complain about and that I've dealt with personally a lot like the less direct homophobia, like “oh that's so gay, that person's such a faggot,” when it's like not even that they're talking about someone who is actually homosexual, they're just like, “oh, he's such a fag.”",0
30,"There was one girl in particular who would constantly say “Well, because you're gay or lesbian or whatever, you're going to hell.” And then she'd constantly come up to us and ask, “Are you gay? Are you lesbian?” knowing we were those things and then she's like, “You need to find Jesus. I think you need to find the holy way.” On the last week of school, she even took me out of two class periods to sit down in [name deleted]'s office and try to get me to convert.",0
31,A pretty bad thing that happened to me was I was on the bus and I was spit on because I was commenting on someone's purse and I was wearing purple nail polish. I got spit on six times before I got off the bus.,0
32,"My ex-girlfriend's little brother, he's gay and he lived in [city name], and now he's laying in a coma that he's been in for the past six months because some kids started beating the shit out of him because they knew he was gay.",0
33,"I think that you know eighteen through whatever, . . . I mean they're adults, but . . . Maybe like they're not twenty-one, so they can't meet people in places that you have to be twenty-one. When they hear about adult things it's people who are like forty and up, so like there's a point that it's kind of like you're an adult, but you're such a young adult that you're not--there's nothing there for you.",0
