Sentiment,No,Date,type,author,text,,
0,140,Sun May 17 17:32:30 UTC 2009,aig,aMild,started to think that Citi is in really deep s&amp,^t. Are they gonna survive the turmoil or are they gonna be the next AIG?,
0,141,Sun May 17 17:32:36 UTC 2009,aig,Trazor1,ShaunWoo hate'n on AiG,,
4,142,Sun May 17 17:35:17 UTC 2009,star trek,mimknits,@YarnThing you will not regret going to see Star Trek. It was AWESOME!,,
2,143,Sun May 17 17:35:28 UTC 2009,star trek,GeeRen,On my way to see Star Trek @ The Esquire.,,
2,144,Sun May 17 17:35:45 UTC 2009,star trek,checkyesjess,Going to see star trek soon with my dad.,,
0,145,Mon May 18 01:13:27 UTC 2009,Malcolm Gladwell,renano,annoying new trend on the internets:  people picking apart michael lewis and malcolm gladwell.  nobody wants to read that.,,
2,146,Mon May 18 01:14:41 UTC 2009,Malcolm Gladwell,kottkedotorg,Bill Simmons in conversation with Malcolm Gladwell http://bit.ly/j9o50,,
4,147,Mon May 18 01:14:47 UTC 2009,Malcolm Gladwell,davidm89,Highly recommend: http://tinyurl.com/HowDavidBeatsGoliath by Malcolm Gladwell,,
4,148,Mon May 18 01:15:17 UTC 2009,Malcolm Gladwell,livreal,Blink by malcolm gladwell amazing book and The tipping point!,,
4,149,Mon May 18 01:16:12 UTC 2009,Malcolm Gladwell,mikearosso,Malcolm Gladwell might be my new man crush,,
0,150,Mon May 18 01:18:03 UTC 2009,espn,wendy93639,omg. The commercials alone on ESPN are going to drive me nuts.,,
4,151,Mon May 18 03:11:06 UTC 2009,"""twitter api""",ClayFranklin,@robmalon Playing with Twitter API sounds fun.  May need to take a class or find a new friend who like to generate results with API code.,,
2,152,Mon May 18 03:11:58 UTC 2009,"""twitter api""",cURLTesting,playing with cURL and the Twitter API,,
4,153,Mon May 18 03:12:13 UTC 2009,"""twitter api""",ringerdrop,Hello Twitter API ,),
2,154,Mon May 18 03:12:18 UTC 2009,"""twitter api""",danserfaty,playing with Java and the Twitter API,,
0,155,Mon May 18 03:12:40 UTC 2009,"""twitter api""",raykolbe,@morind45 Because the twitter api is slow and most client's aren't good.,,
0,156,Mon May 18 03:13:03 UTC 2009,yahoo,CarolineVilas,yahoo answers can be a butt sometimes,,
4,157,Mon May 18 05:07:16 UTC 2009,scrapbooking,rachelbegins,is scrapbooking with Nic =D,,
4,172,Tue May 19 16:20:46 UTC 2009,wolfram alpha,leedscentlib,RT @mashable: Five Things Wolfram Alpha Does Better (And Vastly Different) Than Google - http://bit.ly/6nSnR,,
4,173,Wed May 20 02:37:09 UTC 2009,nike,sportsgirl505,just changed my default pic to a Nike basketball cause bball is awesome!!!!!,,
2,174,Wed May 20 02:38:27 UTC 2009,nike,MatrixSystems,"Nike owns NBA Playoffs ads w/ LeBron, Kobe, Carmelo? http://ow.ly/7Uiy  #Adidas #Billups #Howard  #Marketing #Branding",,
2,175,Wed May 20 02:38:45 UTC 2009,nike,cadburysgirl,"'Next time, I'll call myself Nike'",,
2,176,Wed May 20 02:38:50 UTC 2009,nike,AddictedToFresh,New blog post: Nike SB Dunk Low Premium 'White Gum' http://tr.im/lOtT,,
0,177,Wed May 20 02:39:05 UTC 2009,nike,coreysmbpro,RT @SmartChickPDX: Was just told that Nike layoffs started today :-(,,
4,178,Wed May 20 02:39:28 UTC 2009,nike,PRolivia,Back when I worked for Nike we had one fav word : JUST DO IT! :),,
4,179,Wed May 20 02:40:23 UTC 2009,nike,ErrantDreams,"By the way, I'm totally inspired by this freaky Nike commercial: http://snurl.com/icgj9",,
2,192,Sat May 23 20:43:22 UTC 2009,weka,nikete,"giving weka an app engine interface, using the bird strike data for the tests, the logo is a given.",,
2,194,Sun May 24 16:18:48 UTC 2009,50d,bigdigit,"Brand New Canon EOS 50D 15MP DSLR Camera Canon 17-85mm IS Lens ...: Web Technology Thread, Brand New Canon EOS 5.. http://u.mavrev.com/5a3t",,
4,195,Sun May 24 16:19:04 UTC 2009,50d,justinbettman,Class... The 50d is supposed to come today :),,
0,196,Sun May 24 20:48:14 UTC 2009,lambda calculus,read0,needs someone to explain lambda calculus to him! :(,,
0,197,Sun May 24 20:48:58 UTC 2009,lambda calculus,BAK3R,Took the Graduate Field Exam for Computer Science today.  Nothing makes you feel like more of an idiot than lambda calculus.,,
4,198,Sun May 24 20:49:52 UTC 2009,east palo alto,SLICKSPIT,SHOUT OUTS TO ALL EAST PALO ALTO FOR BEING IN THE BUILDIN KARIZMAKAZE 50CAL GTA! ALSO THANKS TO PROFITS OF DOOM UNIVERSAL HEMPZ CRACKA......,,
0,199,Sun May 24 20:50:32 UTC 2009,east palo alto,ckwright,"@legalgeekery Yeahhhhhhhhh, I wouldn't really have lived in East Palo Alto if I could have avoided it.  I guess it's only for the summer.",,
4,204,Mon May 25 17:15:01 UTC 2009,stanford,souleaterjh,@accannis @edog1203 Great Stanford course. Thanks for making it available to the public! Really helpful and informative for starting off!,,
2,205,Mon May 25 17:15:24 UTC 2009,stanford,susangao,"NVIDIA Names Stanford's Bill Dally Chief Scientist, VP Of Research http://bit.ly/Fvvg9",,
2,206,Mon May 25 17:15:43 UTC 2009,stanford,jimmy_chan2009,New blog post: Harvard Versus Stanford - Who Wins? http://bit.ly/MCoCo,,
4,207,Mon May 25 17:17:04 UTC 2009,lakers,a_fio,@ work til 6pm... lets go lakers!!!,,
0,208,Mon May 25 17:18:29 UTC 2009,north korea,luvslikepi,Damn you North Korea. http://bit.ly/KtMeQ,,
0,209,Mon May 25 17:19:05 UTC 2009,north korea,utsagrad123,Can we just go ahead and blow North Korea off the map already?,,
0,210,Mon May 25 17:19:14 UTC 2009,north korea,stabotage,"North Korea, please cease this douchebaggery. China doesn't even like you anymore. http://bit.ly/NeHSl",,
0,211,Mon May 25 17:21:08 UTC 2009,pelosi,zed01,Why the hell is Pelosi in freakin China? and on whose dime?,,
0,212,Mon May 25 17:23:55 UTC 2009,bailout,funky_old_man,"Are YOU burning more cash $$$ than Chrysler and GM? Stop the financial tsunami. Where ""bailout"" means taking a handout!",,
0,213,Mon May 25 17:25:34 UTC 2009,insects,malcozer,insects have infected my spinach plant :(,,
0,214,Mon May 25 17:26:50 UTC 2009,insects,AntoineTheReaL,wish i could catch every mosquito in the world n burn em slowly.they been bitin the shit outta me 2day.mosquitos are the assholes of insects,,
0,215,Mon May 25 17:27:05 UTC 2009,insects,jonwolpert,"just got back from church, and I totally hate insects.",,
0,216,Mon May 25 17:28:50 UTC 2009,mcdonalds,jachshore,Just got mcdonalds goddam those eggs make me sick. O yeah Laker up date go lakers. Not much of an update? Well it's true so suck it,,
4,217,Mon May 25 17:29:39 UTC 2009,mcdonalds,MamiYessi,omgg i ohhdee want mcdonalds damn i wonder if its open lol =],,
0,218,Mon May 25 17:31:21 UTC 2009,exam,jvici0us,History exam studying ugh,,
0,219,Mon May 25 17:31:43 UTC 2009,exam,enriquenieto,"I hate revision, it's so boring! I am totally unprepared for my exam tomorrow :( Things are not looking good...",,
0,220,Mon May 25 17:31:45 UTC 2009,exam,Drummermatt_182,"Higher physics exam tommorow, not lookin forward to it much :(",,
0,222,Mon May 25 17:32:11 UTC 2009,exam,filmcriticbeta,"It's a bank holiday, yet I'm only out of work now. Exam season sucks:(",,
0,223,Mon May 25 17:34:40 UTC 2009,cheney,lvlocal,Cheney and Bush are the real culprits - http://fwix.com/article/939496,,
0,224,Mon May 25 17:34:51 UTC 2009,cheney,QCWofNC,Life?s a bitch? and so is Dick Cheney. #p2 #bipart #tlot #tcot #hhrs #GOP #DNC http://is.gd/DjyQ,,
0,225,Mon May 25 17:35:23 UTC 2009,cheney,jepaco,"Dick Cheney's dishonest speech about torture, terror, and Obama. -Fred Kaplan Slate. http://is.gd/DiHg",,
0,226,Mon May 25 17:37:56 UTC 2009,republican,ImportantQuotes,"""The Republican party is a bunch of anti-abortion zealots who couldn't draw flies to a dump."" -- Neal Boortz (just now, on the radio)",,
0,227,Mon May 25 17:46:06 UTC 2009,twitter api,fwhamm,is Twitter's connections API broken? Some tweets didn't make it to Twitter...,,
0,228,Mon May 25 17:46:24 UTC 2009,twitter api,jos897,"i srsly hate the stupid twitter API timeout thing, soooo annoying!!!!! :(",,
4,233,Wed May 27 00:34:21 UTC 2009,jquery book,jystewart,"@psychemedia I really liked @kswedberg's ""Learning jQuery"" book. http://bit.ly/pg0lT is worth a look too",,
2,234,Wed May 27 00:34:47 UTC 2009,jquery book,cfbloggers,jQuery UI 1.6 Book Review - http://cfbloggers.org/?c=30631,,
4,235,Wed May 27 00:38:56 UTC 2009,goodby silverstein,CaerusMe,"Very Interesting Ad from Adobe by Goodby, Silverstein &amp; Partners - YouTube - Adobe CS4: Le Sens Propre http://bit.ly/VprpT",,
4,236,Wed May 27 00:39:13 UTC 2009,goodby silverstein,HallandPartners,Goodby Silverstein agency new site! http://www.goodbysilverstein.com/ Great!,,
4,237,Wed May 27 00:39:21 UTC 2009,goodby silverstein,suedecrush,"RT @designplay Goodby, Silverstein's new site: http://www.goodbysilverstein.com/ I enjoy it. *nice find!*",,
4,238,Wed May 27 00:41:13 UTC 2009,goodby silverstein,_imageworks,The ever amazing Psyop and Goodby Silverstein &amp, Partners for HP! http://bit.ly/g2rU8 Have to go play with After Effects now!,
4,239,Wed May 27 00:42:22 UTC 2009,wieden,dustinrowley,top ten most watched on Viral-Video Chart.  Love the nike #mostvaluablepuppets campaign from Wieden &amp, Kennedy http://bit.ly/nR1n9,
4,251,Wed May 27 23:49:47 UTC 2009,g2,xzela,zomg!!! I have a G2!!!!!!!,,
4,252,Wed May 27 23:49:59 UTC 2009,g2,mobiledreams,Ok so lots of buzz from IO2009 but how lucky are they - a Free G2!! http://is.gd/Hyzl,,
4,253,Wed May 27 23:50:46 UTC 2009,g2,crashfaster,just got a free G2 android at google i/o!!!,,
4,254,Wed May 27 23:51:30 UTC 2009,g2,dragonal,Guess I'll be retiring my G1 and start using my developer G2 woot #googleio,,
2,255,Wed May 27 23:56:56 UTC 2009,googleio,mastooo,At GWT fireside chat @googleio,,
4,256,Wed May 27 23:59:18 UTC 2009,googleio,maex242,I am happy for Philip being at GoogleIO today,,
4,317,Sat May 30 17:46:39 UTC 2009,lakers,specs20,Lakers played great!  Cannot wait for Thursday night Lakers vs. ???,,
2,328,Sun May 31 06:51:14 UTC 2009,viral marketing,BrandKarma,"Hi there, does anyone have a great source for advice on viral marketing?... http://link.gs/YtZ8",,
4,329,Sun May 31 06:51:30 UTC 2009,viral marketing,mattcad,Judd Apatow creates fake sitcom on NBC.com to market his new movie... viral marketing at its best. http://is.gd/K0yK,,
2,330,Sun May 31 06:51:34 UTC 2009,viral marketing,grahamgrimshaw,"Here's A case study on how to use viral marketing to add over 10,000 people to your list http://snipr.com/i50oz",,
0,331,Sun May 31 06:51:44 UTC 2009,viral marketing,nicoleisms,VIRAL MARKETING FAIL. This Acia Pills brand oughta get shut down for hacking into people's messenger's.  i get 5-6 msgs in a day! Arrrgh!,,
4,388,Tue Jun 02 02:54:09 UTC 2009,"""night at the museum""",Cristinellaa,watching Night at The Museum . Lmao,,
4,389,Tue Jun 02 02:54:12 UTC 2009,"""night at the museum""",MzJill,i loved night at the museum!!!,,
2,390,Tue Jun 02 02:54:22 UTC 2009,"""night at the museum""",Lynn_Sky,going to see the new night at the museum  movie with my family oh boy a three year old in the movies fuin,,
4,391,Tue Jun 02 02:54:40 UTC 2009,"""night at the museum""",bobster56,just got back from the movies.  went to see the new night at the museum with rachel.  it was good,,
2,392,Tue Jun 02 02:54:44 UTC 2009,"""night at the museum""",jordanforeman,Just saw the new Night at the Museum movie...it was...okay...lol 7\10,,
2,393,Tue Jun 02 02:54:51 UTC 2009,"""night at the museum""",britree,Going to see night at the museum 2 with tall boy,,
4,394,Tue Jun 02 02:55:16 UTC 2009,"""night at the museum""",jellz,@shannyoday I will take you on a date to see night at the museum 2 whenever you want...it looks soooooo good,,
4,395,Tue Jun 02 02:55:25 UTC 2009,"""night at the museum""",droherty,no watching The Night At The Museum. Getting Really Good,,
4,396,Tue Jun 02 02:55:39 UTC 2009,"""night at the museum""",sarahbrooke,"Night at the Museum, Wolverine and junk food - perfect monday!",,
4,397,Tue Jun 02 02:55:49 UTC 2009,"""night at the museum""",jeremyempire,saw night at the museum 2 last night.. pretty crazy movie.. but the cast was awesome so it was well worth it. Robin Williams forever!,,
2,398,Tue Jun 02 02:56:01 UTC 2009,"""night at the museum""",MirandaClues,I saw Night at the Museum: Battle of the Swithsonian today. It was okay. Your typical [kids] Ben Stiller movie.,,
2,399,Tue Jun 02 02:56:25 UTC 2009,"""night at the museum""",RGuad08,Taking Katie to see Night at the Museum.  (she picked it),,
0,400,Tue Jun 02 02:56:38 UTC 2009,"""night at the museum""",xshallsx,Night at the Museum tonite instead of UP. :( oh well. that 4 yr old better enjoy it. LOL,,
2,401,Tue Jun 02 03:00:25 UTC 2009,gm,EconomyUpdates,GM says expects announcment on sale of Hummer soon - Reuters: WDSUGM says expects announcment on sale of Hummer .. http://bit.ly/4E1Fv,,
0,402,Tue Jun 02 03:01:10 UTC 2009,gm,mshbrown,It's unfortunate that after the Stimulus plan was put in place twice to help GM on the back of the American people has led to the inevitable,,
0,403,Tue Jun 02 03:02:17 UTC 2009,gm,misschris62,Tell me again why we are giving more $$ to GM?? We should use that $ for all the programs that support the unemployed.,,
0,404,Tue Jun 02 03:05:13 UTC 2009,gm,artbynemo,@jdreiss oh yes but if GM dies it will only be worth more boo hahaha,,
0,405,Tue Jun 02 03:14:36 UTC 2009,time warner,windhamgirl,Time Warner cable is down again 3rd time since Memorial Day bummer!,,
0,406,Tue Jun 02 03:15:11 UTC 2009,time warner,mmmPi,"I would rather pay reasonable yearly taxes for ""free"" fast internet, than get gouged by Time Warner for a slow connection.",,
0,407,Tue Jun 02 03:15:23 UTC 2009,time warner,NDEddieMac,NOOOOOOO my DVR just died and I was only half way through the EA presser. Hate you Time Warner,,
0,408,Tue Jun 02 03:15:54 UTC 2009,time warner,yourboysdot,F*ck Time Warner Cable!!! You f*cking suck balls!!! I have a $700 HD tv &amp, my damn HD channels hardly ever come in. Bullshit!!,
0,409,Tue Jun 02 03:16:16 UTC 2009,time warner,Shazzainla,time warner has the worse customer service ever. I will never use them again,,
0,410,Tue Jun 02 03:16:27 UTC 2009,time warner,dstalk,Time warner is the devil. Worst possible time for the Internet to go out.,,
0,411,Tue Jun 02 03:16:37 UTC 2009,time warner,ernestalfonso,Fuck no internet damn time warner!,,
0,412,Tue Jun 02 03:16:49 UTC 2009,time warner,kaaatiee,time warner really picks the worst time to not work. all i want to do is get to mtv.com so i can watch the hills. wtfffff.,,
0,413,Tue Jun 02 03:17:04 UTC 2009,time warner,JasonNegron,I hate Time Warner! Soooo wish I had Vios. Cant watch the fricken Mets game w/o buffering. I feel like im watching free internet porn.,,
0,414,Tue Jun 02 03:17:26 UTC 2009,time warner,elphabablue,Ahh...got rid of stupid time warner today &amp, now taking a nap while the roomies cook for me. Pretty good end for a monday :),
0,415,Tue Jun 02 03:17:55 UTC 2009,time warner,gabe_rp,Time Warner's HD line up is crap.,,
0,416,Tue Jun 02 03:18:50 UTC 2009,time warner,JoeyCircles,is being fucked by time warner cable. didnt know modems could explode. and Susan Boyle sucks too!,,
2,417,Tue Jun 02 03:22:07 UTC 2009,time warner,ScooPost,Time Warner Cable Pulls the Plug on 'The Girlfriend Experience' - (www.tinyurl.com/m595fk),,
0,418,Tue Jun 02 03:23:50 UTC 2009,time warner,adamjleach,Time Warner Cable slogan: Where calling it a day at 2pm Happens.,,
2,419,Tue Jun 02 03:24:43 UTC 2009,china,HYPHYROCKSTAR,"Rocawear Heads to China, Building 300 Stores  - http://tinyurl.com/nofet3",,
2,420,Tue Jun 02 03:24:47 UTC 2009,china,BreakingBizNews,"Climate focus turns to Beijing: The United Nations, the US and European governments have called on China to co-o.. http://tinyurl.com/lto92n",,
2,421,Tue Jun 02 03:24:57 UTC 2009,china,myfoxdc,myfoxdc Barrie Students Back from Trip to China: A Silver Spring high school's class trip to China has en.. http://tinyurl.com/nlhqba,,
2,422,Tue Jun 02 03:25:01 UTC 2009,china,drlombardo,"Three China aerospace giants develop Tianjin Binhai  New Area,  22.9 B yuan invested   http://bit.ly/mMiDv",,
2,423,Tue Jun 02 03:27:27 UTC 2009,gm,sinostream,http://xi.gs/04FO GM CEO: China will continue to be key partner,,
2,424,Tue Jun 02 03:27:48 UTC 2009,gm,hammerauto,RT @LATimesautos is now the time to buy a GM car? http://bit.ly/nRzlu,,
0,425,Tue Jun 02 03:29:23 UTC 2009,surgery,scoralli,Recovering from surgery..wishing @julesrenner was here :(,,
4,426,Tue Jun 02 03:29:53 UTC 2009,dentist,sardonnica,"My wrist still hurts. I have to get it looked at. I HATE the dr/dentist/scary places. :( Time to watch Eagle eye. If you want to join, txt!",,
2,427,Tue Jun 02 03:32:14 UTC 2009,dentist,BChasnov,Dentist tomorrow. Have to brush well in the morning. Like I make my hair all nice before I get it cut. Why?,,
0,428,Tue Jun 02 03:32:33 UTC 2009,dentist,LILJIZZEL,"THE DENTIST LIED! "" U WON'T FEEL ANY DISCOMORT! PROB WON'T EVEN NEED PAIN PILLS"" MAN U TWIPPIN THIS SHIT HURT!! HOW MANY PILLS CAN I TAKE!!",,
0,429,Tue Jun 02 03:32:45 UTC 2009,dentist,giz2000,@kirstiealley my dentist is great but she's expensive...=(,,
2,430,Tue Jun 02 03:33:30 UTC 2009,dentist,cmonaussiecmon,@kirstiealley Pet Dentist http://www.funnyville.com/fv/pictures/dogdentures.shtml,,
4,431,Tue Jun 02 03:33:53 UTC 2009,dentist,sorayabouby,is studing math ,) tomorrow exam and dentist :),
0,432,Tue Jun 02 03:34:27 UTC 2009,dentist,jeffreymodest,my dentist was wrong... WRONG,,
0,433,Tue Jun 02 03:34:39 UTC 2009,dentist,yowneh,Going to the dentist later.:|,,
0,434,Tue Jun 02 03:34:58 UTC 2009,dentist,CWilliams_Rltr,Son has me looking at cars online.  I hate car shopping.  Would rather go to the dentist!  Anyone with a good car at a good price to sell?,,
2,435,Tue Jun 02 04:29:16 UTC 2009,baseball,SimpleManJess,NCAA Baseball Super Regional - Rams Club http://bit.ly/Ro7nx,,
2,436,Tue Jun 02 04:29:26 UTC 2009,baseball,H3LLGWAR,just started playing Major League Baseball 2K9. http://raptr.com/H3LLGWAR,,
2,437,Tue Jun 02 04:29:30 UTC 2009,baseball,LouisvilleGrads,Cardinals baseball advance to Super Regionals. Face CS-Fullerton Friday.,,
2,438,Tue Jun 02 04:39:24 UTC 2009,sony,SwainFamily,Sony coupon code.. Expires soon.. http://www.coupondork.com/r/1796,,
2,439,Tue Jun 02 04:39:49 UTC 2009,safeway,neeeelia,waiting in line at safeway.,,
0,440,Tue Jun 02 04:39:59 UTC 2009,safeway,ryanlipert,luke and i got stopped walking out of safeway and asked to empty our pockets and lift our shirts. how jacked up is that?,,
2,441,Tue Jun 02 04:41:03 UTC 2009,safeway,evan,Did not realize there is a gym above Safeway!,,
2,442,Tue Jun 02 04:41:07 UTC 2009,safeway,ronjon,"@XPhile1908 I have three words for you: ""Safeway dot com""",,
4,443,Tue Jun 02 04:41:19 UTC 2009,safeway,missleigh,Safeway is very rock n roll tonight,,
2,444,Tue Jun 02 04:41:36 UTC 2009,safeway,SharkKMV,Bout to hit safeway I gotta eat,,
2,445,Tue Jun 02 04:41:48 UTC 2009,safeway,bosZmom,Jake's going to safeway!,,
2,446,Tue Jun 02 04:41:58 UTC 2009,safeway,penlynwilson,Found a safeway. Picking up a few staples.,,
2,447,Tue Jun 02 04:42:28 UTC 2009,safeway,mobileadgirl,Safeway Super-marketing via mobile coupons http://bit.ly/ONH7w,,
0,448,Tue Jun 02 04:42:34 UTC 2009,safeway,phantomzangel,The safeway bathroom still smells like ass!,,
0,449,Tue Jun 02 04:42:46 UTC 2009,safeway,BreezB,"At safeway on elkhorn, they move like they're dead!",,
2,451,Tue Jun 02 06:53:03 UTC 2009,eating,nonstopdiets,Your Normal Weight (and How to Get There) ? Normal Eating Blog http://bit.ly/ZeT8O,,
2,452,Tue Jun 02 06:53:11 UTC 2009,eating,janelleshanks,Is Eating and Watching Movies....,,
2,456,Tue Jun 02 06:53:27 UTC 2009,eating,hanaho,eating sashimi,,
2,457,Tue Jun 02 06:53:37 UTC 2009,eating,Fiel,is eating  home made yema,,
2,458,Tue Jun 02 06:54:16 UTC 2009,eating,aaindefenzo,eating cake,,
4,531,Thu Jun 04 16:49:55 UTC 2009,nike,CrownRoyal8,i love Dwight Howard's vitamin water commercial... now i wish he was with NIKE and not adidas. lol.,,
0,532,Thu Jun 04 16:52:36 UTC 2009,nike,MrGQ,Found NOTHING at Nike Factory :/ Off to Banana Republic Outlet! http://myloc.me/2zic,,
